sr,filename,keyphrases,label
1 , b-490.txt ,"brazil jobless rate new lowbrazil unemployment rate its lowest level three years december the government the brazilian institute geography and statistics ibge 9.6% december 10.6% november 10.9% december 2003 ibge average monthly salaries 1.9% december 2004 december 2003 average monthly wages 1.8% december 895.4 reais $332 £179.3 november tuesday figures the first time the unemployment rate a single digit new measurement rules 2001 the unemployment rate april 2004 a peak 13.1% the jobless rate average the whole 2004 11.5% 12.3% 2003 the ibge this improvement the country strong economic growth the economy growth 5.2% 2004 the government the economy about 4% this year president luiz inacio lula da silva unemployment two years some analysts unemployment the next months the data a lot jobs christmas holiday season slightly higher joblessness january and february julio hegedus chief economist lopes filho & associates consultancy rio de janeir reuters news agency his leftist background president lula a surprisingly conservative economic policy its social promises the government a sustained economic growth the unemployment rate the six main metropolitan areas brazil sao paolo rio de janeiro belo horizonte recife salvador and porto alegre the population", business
2 , e-182.txt ,"top stars us tsunami tv showbrad pitt robert de niro hugh grant the line-up a two-hour us tv special money victims the asian tsunami andy garcia lucy liu natalie portman jay leno the new names saturday tsunami aid a-list singers madonna sir elton john nelly and usher actors kevin spacey halle berry george clooney the nbc broadcast viewers phone donations the night norah jones diana ross stevie wonder maroon 5 mary j blige and eric clapton musical performances the show a concert hope catherine zeta jones michael douglas bruce willis uma thurman matt damon drew barrymore tim robbins the other movie superstars an appearance george clooney a tv host suggestion not all funds tsunami relief fox tv bill oreilly the money the tsunami victims the celebrities part all the way the line clooney oreilly a fuss his own personal gain viewers their money no good oreilly the tv special a letter games lives this joint effort organisers all funds the american red cross the commercial-free benefit show a string cable broadcasters clear channel radio stations the us addition performances the internet downloads sony connect music store a similar tv benefit all four primary us tv networks the 11 september terror attacks more than $150m £80m the bangkok international film festival thursday the thai capital the shadow the country 5300 deaths the tsunami the red carpet gala night favour a more subdued first night six different films six cinemas all money ticket sales charity", entertainment
3 , b-372.txt ,"madagascar currency switchmadagascar the replacement its malagasy franc a new currency the ariary monday all prices and contracts the ariary 1893 the us dollar the malagasy franc almost half its value 2004 no longer legal tender exchangeable banks 2009 the phasing the franc july 2003 the country its past french colonial rule the problem the large amount counterfeit francs circulation all a question sovereignty reuters a central bank official our independence the old colonial ways the french monetary zone 1973 our own currency its own name the ariary the name a pre-colonial currency the indian ocean island state", business
4 , e-279.txt ,"rapper films music video jail a us rapper trial murder part a music video jail a sheriff tv crews c-murder a former member rap group tru his orange prison suit the video his y heard a new orleans jail a second trial an original conviction jefferson parish sheriff harry lee another video my jail footage the video two crews permission c-murder - one court tv a local cable show mr lee the rapper the video an album bars the cameras the rapper lawyer ron rakosky the bottom line mr rakosky c-murder real name corey miller a guy jail constructive use his time more than three years his life a crime local group victims citizens crime bars a suspect a murder case these privileges money his name the group president beverly siemssen 2003 c-murder a 16-year-old a nightclub that decision last april a second trial a charge second-degree murder two brothers the group tru two us top 10 albums the late 1990s another three top 10 albums", entertainment
5 , p-398.txt ,"lib dems the lib dems their best results both the general election the local council polls their frontbenchers local government spokesman ed davey the party its campaign the local elections 37 english council areas the flagship pledge council tax a local income tax the tories the lib dems people more tax labour the party sums the coming elections 5 mr davey more votes more seats the best general election results local election results [party leader] charles kennedy a stronger endorsement a leader", politics
6 , s-426.txt ,"young debut gineprififteen-year-old donald young first appearance an atp tennis tournament the teenager round one the san jose open young the top the junior world rankings the boys  singles january australian open the wildcard entry fellow american robby ginepri straight sets 6-2 6-2 california his tour debut fun my chances young two players the top 200 14 only 2-1 the first set 10 the next 13 games ginepri six years the youngest player a junior slam the global standings ginepri a long future the court his serve a little the net south korean hyung-taik lee american jan-michael gambill 6-3 7-6 7-4 american kevin kim jan hernych the czech republic 7-5 6-3 canadian qualifier frank dancevic american jeff morrison 4-6 7-6 7-3 6-0 denmark kenneth carlsen irakli labadze the republic georgia 6-7 4-7 6-2 6-3 top seed andy roddick his defence the title wednesday qualifier paul goldstein second seed andre agassi his campaign tuesday wildcard bobby reynolds last year us collegiate champion agassi the san jose five times his run three straight titles last year mardy fish the semi-finals fish roddick the final", sports
7 , e-239.txt ,"fightstar the stage charlie simpson his new band fightstar the stage friday night just hours his departure pop band busted a sell-out crowd the university warwick confirmation busted long-rumoured split the day simpson a press conference london bandmates matt willis james bourne all three band members the break bourne simpson departure a really difficult decision 19-year-old simpson the fans simpson pride busted enormous success his focus fightstar friday press conference the start the band 13-date tour the uk this news all 1400 tickets charlie first post-busted live appearance the university warwick student union mike eccleshall the venue promotions coordinator tickets the past few days sales the news 4pm queues the venue expectations the pressure fightstar many dedicated fans the gig the country a tough crowd students the average age the audience any busted concert the screaming girls simpson support act brigade simpson brother a short set general approval fightstar the stage 11pm a riotous cheer any hecklers the crowd the band technical teething problems simpson guitar amplifier sound technicians other band members their best fightstar blend emotionally charged rock far heavier busted chart-topping pop-punk the band a more mature fan-base warwick student helen clutterbuck fightstar all the controversy less impressed fellow students ryan crabbe gordon rennie fightstar charlie busted sound fightstar around 45 minutes material their forthcoming ep dead release february", entertainment
8 , t-225.txt ,"lifestyle mobile choice faster better or funkier hardware phone firms more handsets research phone firms their customers the technology its own sake consumers handsets their lifestyle screen size onboard memory the chip an in-depth study telecommunications company ericsson the industry technology dr michael bjorn senior advisor mobile media ericsson consumer enterprise lab these technologies their lives consumers their own language the bbc news website the study ericsson 14000 mobile phone owners the ways their phone people habits the same dr bjorn the activity the mobile phone a much more convenient way one good example younger people diaries a mobile phone especially one a camera a different form youngsters text messages their desire contact friends a slightly changed way dr bjorn consumers a phone the sheer variety the new handset technologies new habits and lifestyles ericsson research consumers different tribes phones different ways dr bjorn groups pioneers materialists new things the start many trends phone use instance older people sms five years younger users the children ageing mobile owners older people touch another factor the speed change mobile phone use the simple speed new devices pioneers and materialists about 25% people handsets new innovations cameras consumers a picture message the person the other end this significant number users new innovations dr bjorn early reports camera phone usage japan the innovation a flop 45% the japanese people ericsson their camera phone once a month 2003 the figure 29% europe the numbers people snaps cameras 2003 only 4% the people the uk a phonecam snap once a month the figure 14% similar rises many other european nations dr bjorn people their camera phones very different ways film even digital cameras usage patterns digital cameras usage patterns analogue cameras digital cameras significant events weddings holidays birthdays contrast camera phones a moment everyday life", technology
9 , p-409.txt ,"tories the top tory delegates their last conference the general election britain needs a change the top the party its spring forum a clear choice labour tory co-chairman liam fox proceedings a speech tony blair record government labour rule trust and failure the brighton conference the government failure immigration and asylum its record the nhs delegates labour education or crime a tory government the shambles immigration patients statistics discipline schools dr fox tory promises tax £4bn bbc political correspondent shaun ley opinion polls the tories some way labour the issues health education the economy conservative leader michael howard welcome delegates the conference friday a lunchtime speech his welcome address london the party opposition the prevention terrorism bill its lengthy progress parliament the bill friday evening more than 30 hours debate mr howard his party handling the bill the conservatives prime minister tony blair promise mps a year", politics
10 , s-060.txt ,"mcilroy 800m indoor title james mcilroy the aaa indoor 800m title sheffied sunday a time one minute 47.97 seconds the larne athlete the race start a late challenge welshman jimmy watkins the final 100 metres all the gears the europeans mcilroy the british record the end mcilroy superb form the start the season his build-up the european indoors madrid 4-6 march paul brizzel anna boyle the semi-finals the 60m hurdles boyle a season best 7.48 the women 60m final ailis mcsweeney michelle carroll long-standing irish record 7.37 third place david gillick a genuine medal contender the european indoor championships an impressive 400m victory gillick more than half-a-second clear gold 46.45 02 his personal best set saturday semi-finals the irishman the fastest european this season derval orourke her own irish 60m hurdles record 8.06 her third new british record holder sarah claxton 7.96 james nolan 3:46.04 the men 1500m neil speaight 3:45.86 the offaly man the european indoor standard colin costello the 1500m 3:48.82 deirdre ryan the women high jump a clearance 1.87m aoife byrne silver the 800m a personal best 2:06.73 lisburn kelly mcneice reid 4:31.34 the women 1500m gary murray 8:11.22 11th the men 3000m stephen cairns jill shannon the individual titles saturday northern ireland cross country championship coleraine cairns paul rowan allan bogle the men race willowfield their first men team title 72 years shannon lagan valley the women team honours", sports
